horizon,MAE,RMSE,MAPE,samples
1187,2.218150268260362,2.907158257113191,19.90000658185339,1842
1188,2.217892272621611,2.9068731343044973,19.898466008691926,1842
1189,2.217634571618258,2.9065884144283585,19.896927780748133,1842
1190,2.2173772845328887,2.9063041391174997,19.895393226282525,1842
1191,2.2171203979441856,2.906020304022986,19.8938619962423,1842
1192,2.216863892507504,2.905736905916281,19.892333383050403,1842
1193,2.216607849609591,2.9054539631486294,19.89080851989426,1842
1194,2.216352403243873,2.905171514047102,19.889289557772365,1842
1195,2.216097536141087,2.904889560677604,19.887776700549665,1842
1196,2.215843102851845,2.904608054512388,19.886268552470682,1842
1197,2.215588888025246,2.9043268882255657,19.88476337111294,1842
1198,2.2153346796131665,2.9040459276167074,19.88325919523191,1842
1199,2.2150803775535683,2.9037650940536275,19.881755286143036,1842
1200,2.2148257028011504,2.9034841571536787,19.88024918727093,1842
1201,2.2145706864695653,2.9032031033044507,19.878741947422775,1842
1202,2.2143152474782912,2.902921899409206,19.877232088382552,1842
1203,2.2140591576217745,2.902640474921802,19.875715921857765,1842
1204,2.2138024317687384,2.902358884491832,19.87419314481084,1842
1205,2.2135449550346276,2.902077162715182,19.872661761615483,1842
1206,2.213286784618034,2.9017953487225263,19.87112224792605,1842
1207,2.213027785762662,2.901513353622827,19.869573417318655,1842
1208,2.2127681826937105,2.9012313860659007,19.868016839782747,1842
1209,2.212508225328577,2.9009495526533393,19.866455119544277,1842
1210,2.2122480775935776,2.900667927697979,19.864889969624837,1842
1211,2.211988113893826,2.9003866331555166,19.86332657212246,1842
1212,2.2117286019329745,2.9001057857147114,19.861768672777327,1842
1213,2.2114696835793612,2.899825440296533,19.860217769764027,1842
1214,2.2112114526721216,2.8995456254258216,19.858674899339697,1842
1215,2.210954022667265,2.8992663792283495,19.85714170457216,1842
1216,2.210697261900959,2.8989876312354905,19.855615362085064,1842
1217,2.210441226080918,2.8987093848751813,19.854096428358602,1842
1218,2.2101859592344284,2.898431656962272,19.852585711272255,1842
