,usageDateId,meteringPointTypeCode,productionGroup,installedCapacity
66324,2021-04-05,E18,hydro,221501.0
66325,2021-04-05,E18,wind,3750.0
66326,2021-04-05,E18,thermal,4300.0
67449,2021-04-06,E18,thermal,4300.0
67450,2021-04-06,E19,solar,411.0
67451,2021-04-06,E18,wind,3750.0
67452,2021-04-06,E18,hydro,221501.0
67946,2021-04-07,E18,hydro,221501.0
67947,2021-04-07,E19,solar,411.0
67948,2021-04-07,E18,wind,3750.0
67949,2021-04-07,E18,thermal,4300.0
68646,2021-04-08,E18,thermal,4300.0
68647,2021-04-08,E18,hydro,221501.0
68648,2021-04-08,E19,solar,411.0
68649,2021-04-08,E18,wind,3750.0
69184,2021-04-09,E19,solar,411.0
69185,2021-04-09,E18,wind,3750.0
69186,2021-04-09,E18,hydro,221501.0
69187,2021-04-09,E18,thermal,4300.0
70196,2021-04-10,E18,hydro,221501.0
70197,2021-04-10,E19,solar,411.0
70198,2021-04-10,E18,wind,3750.0
70199,2021-04-10,E18,thermal,4300.0
70783,2021-04-11,E18,thermal,4300.0
70784,2021-04-11,E19,solar,411.0
70785,2021-04-11,E18,hydro,221501.0
70786,2021-04-11,E18,wind,3750.0
71755,2021-04-12,E18,wind,3750.0
71756,2021-04-12,E18,thermal,4300.0
71757,2021-04-12,E19,solar,411.0
71758,2021-04-12,E18,hydro,221501.0
72208,2021-04-13,E18,thermal,4300.0
72209,2021-04-13,E18,wind,3750.0
72210,2021-04-13,E18,hydro,221501.0
72211,2021-04-13,E19,solar,411.0
72730,2021-04-14,E19,solar,411.0
72731,2021-04-14,E18,wind,3750.0
72732,2021-04-14,E18,thermal,4300.0
72733,2021-04-14,E18,hydro,221501.0
73492,2021-04-15,E18,thermal,4300.0
73493,2021-04-15,E18,hydro,221501.0
73494,2021-04-15,E19,solar,411.0
73495,2021-04-15,E18,wind,3750.0
74491,2021-04-16,E18,hydro,221501.0
74492,2021-04-16,E18,wind,3750.0
74493,2021-04-16,E19,solar,411.0
74494,2021-04-16,E18,thermal,4300.0
75096,2021-04-17,E18,wind,3750.0
75097,2021-04-17,E19,solar,411.0
75098,2021-04-17,E18,hydro,221501.0
75099,2021-04-17,E18,thermal,4300.0
75604,2021-04-18,E18,hydro,221501.0
75605,2021-04-18,E18,thermal,4300.0
75606,2021-04-18,E19,solar,411.0
75607,2021-04-18,E18,wind,3750.0
76343,2021-04-19,E18,wind,3750.0
76344,2021-04-19,E19,solar,411.0
76345,2021-04-19,E18,hydro,221501.0
76346,2021-04-19,E18,thermal,4300.0
77011,2021-04-20,E19,solar,411.0
77012,2021-04-20,E18,hydro,221501.0
77013,2021-04-20,E18,thermal,4300.0
77014,2021-04-20,E18,wind,3750.0
77841,2021-04-21,E18,hydro,221501.0
77842,2021-04-21,E18,thermal,4300.0
77843,2021-04-21,E19,solar,411.0
77844,2021-04-21,E18,wind,3750.0
78615,2021-04-22,E18,hydro,221501.0
78616,2021-04-22,E18,thermal,4300.0
78617,2021-04-22,E18,wind,3750.0
78618,2021-04-22,E19,solar,411.0
79303,2021-04-23,E18,thermal,4300.0
79304,2021-04-23,E19,solar,411.0
79305,2021-04-23,E18,wind,3750.0
79306,2021-04-23,E18,hydro,221501.0
79930,2021-04-24,E18,thermal,4300.0
79931,2021-04-24,E18,hydro,221501.0
79932,2021-04-24,E18,wind,3750.0
79933,2021-04-24,E19,solar,411.0
80881,2021-04-25,E18,wind,3750.0
